FromAge ToAge Users UserIndex
      0    15   210       1.0
     16    16 60368       1.0
     17    17 60198       1.0
     18    18 46766       1.0
     19    19  6682       1.0
     20    20  4275       1.0
     21    21  2661       1.0
     22    22  1781       1.0
     23    23  1343       1.0
     24    24   969       1.0
     25    49 11645       1.0
