ba;2;59;930;805;0.86559;0.90251;0.80706;726.52055
ba;2;60;984;870;0.88415;0.90162;0.80031;784.40940
ba;2;61;996;839;0.84237;0.89993;0.80539;755.04127
ba;2;62;974;695;0.71355;0.86574;0.77901;601.68930
ba;2;63;1018;610;0.59921;0.83986;0.76786;512.31460
ba;2;64;997;524;0.52558;0.84706;0.77634;443.85944
ba;2;65;1134;460;0.40564;0.75621;0.66415;347.85660
ba;2;66;987;263;0.26646;0.74321;0.64857;195.46423
ba;2;67;942;187;0.19851;0.60283;0.56513;112.72921
ba;2;68;925;137;0.14811;0.50675;0.50383;69.42475
ba;2;69;744;107;0.14382;0.46740;0.46740;50.01180
ba;2;70;537;61;0.11359;0.39015;0.39015;23.79915
ba;2;71;438;47;0.10731;0.33528;0.33528;15.75816
ba;2;72;353;29;0.08215;0.40396;0.40396;11.71484
ba;2;73;257;23;0.08949;0.37706;0.37706;8.67238
ba;2;74;264;23;0.08712;0.31487;0.31487;7.24201
fa;1;23;14;12;0.85714;0.53263;0.53263;6.39156
fa;1;24;50;46;0.92000;0.71200;0.71200;32.75200
fa;1;25;100;94;0.94000;0.78878;0.77452;74.14532
fa;1;26;146;133;0.91096;0.87783;0.84550;116.75139
fa;1;27;229;225;0.98253;0.88148;0.84853;198.33300
fa;1;28;262;248;0.94656;0.93589;0.90646;232.10072
fa;1;29;295;286;0.96949;0.94497;0.89572;270.26142
fa;1;30;298;292;0.97987;0.94902;0.90591;277.11384
fa;1;31;314;300;0.95541;0.98022;0.90704;294.06600
fa;1;32;299;294;0.98328;0.98272;0.89854;288.91968
fa;1;33;278;265;0.95324;0.96719;0.91036;256.30535
fa;1;34;205;194;0.94634;0.97437;0.89029;189.02778
fa;1;35;221;210;0.95023;0.96501;0.90917;202.65210
fa;1;36;218;213;0.97706;0.96856;0.91712;206.30328
fa;1;37;169;160;0.94675;0.96439;0.90062;154.30240
fa;1;38;201;198;0.98507;0.98598;0.89479;195.22404
fa;1;39;149;141;0.94631;0.95971;0.87466;135.31911
fa;1;40;126;114;0.90476;0.98548;0.88607;112.34472
fa;1;41;127;120;0.94488;0.96747;0.91747;116.09640
fa;1;42;137;133;0.97080;0.95916;0.89339;127.56828
fa;1;43;117;107;0.91453;0.96959;0.93605;103.74613
fa;1;44;109;104;0.95413;0.98417;0.92063;102.35368
fa;1;45;132;126;0.95455;0.95057;0.88240;119.77182
fa;1;46;152;146;0.96053;0.97019;0.93672;141.64774
fa;1;47;176;171;0.97159;0.99173;0.94216;169.58583
fa;1;48;200;193;0.96500;0.98509;0.95270;190.12237
