ph 20 0.0000 0.0000 0.0000
ph 21 0.0035 0.0000 0.0035
ph 22 0.0236 0.0131 0.0105
ph 23 0.0341 0.0140 0.0201
ph 24 0.0813 0.0437 0.0376
ph 25 0.1198 0.0621 0.0577
ph 26 0.0909 0.0446 0.0463
ph 27 0.0691 0.0350 0.0341
ph 28 0.0673 0.0358 0.0315
ph 29 0.0498 0.0201 0.0297
ph 30 0.0472 0.0219 0.0253
ph 31 0.0455 0.0175 0.0280
ph 32 0.0358 0.0219 0.0140
ph 33 0.0367 0.0140 0.0227
ph 34 0.0219 0.0079 0.0140
ph 35 0.0245 0.0131 0.0114
ph 36 0.0166 0.0052 0.0114
ph 37 0.0184 0.0052 0.0131
ph 38 0.0149 0.0044 0.0105
ph 39 0.0114 0.0035 0.0079
ph 40 0.0114 0.0044 0.0070
ph 41 0.0227 0.0070 0.0157
ph 42 0.0184 0.0035 0.0149
ph 43 0.0184 0.0044 0.0140
ph 44 0.0140 0.0070 0.0070
ph 45 0.0114 0.0061 0.0052
ph 46 0.0122 0.0035 0.0087
ph 47 0.0061 0.0009 0.0052
ph 48 0.0114 0.0026 0.0087
ph 49 0.0140 0.0052 0.0087
ph 50 0.0096 0.0044 0.0052
ph 51 0.0052 0.0035 0.0017
ph 52 0.0026 0.0017 0.0009
ph 53 0.0052 0.0026 0.0026
ph 54 0.0061 0.0035 0.0026
ph 55 0.0052 0.0035 0.0017
ph 56 0.0026 0.0017 0.0009
ph 57 0.0026 0.0017 0.0009
ph 58 0.0035 0.0009 0.0026
ph 59 0.0026 0.0017 0.0009
ph 60 0.0017 0.0009 0.0009
ph 61 0.0000 0.0000 0.0000
ph 62 0.0000 0.0000 0.0000
ph 64 0.0009 0.0000 0.0009
py 18 0.0000 0.0000 0.0000
py 19 0.0000 0.0000 0.0000
py 20 0.0000 0.0000 0.0000
py 21 0.0000 0.0000 0.0000
py 22 0.0018 0.0000 0.0018
py 23 0.0036 0.0018 0.0018
py 24 0.0071 0.0018 0.0053
py 25 0.0125 0.0018 0.0107
py 26 0.0285 0.0089 0.0196
py 27 0.0285 0.0125 0.0160
py 28 0.0481 0.0143 0.0339
py 29 0.0357 0.0107 0.0250
py 30 0.0392 0.0160 0.0232
py 31 0.0446 0.0125 0.0321
py 32 0.0410 0.0107 0.0303
py 33 0.0374 0.0107 0.0267
py 34 0.0374 0.0160 0.0214
py 35 0.0481 0.0160 0.0321
py 36 0.0428 0.0143 0.0285
py 37 0.0357 0.0071 0.0285
py 38 0.0374 0.0143 0.0232
py 39 0.0428 0.0143 0.0285
py 40 0.0392 0.0107 0.0285
py 41 0.0339 0.0071 0.0267
py 42 0.0250 0.0089 0.0160
py 43 0.0250 0.0071 0.0178
py 44 0.0250 0.0036 0.0214
py 45 0.0321 0.0125 0.0196
py 46 0.0321 0.0143 0.0178
py 47 0.0392 0.0125 0.0267
py 48 0.0178 0.0071 0.0107
py 49 0.0214 0.0107 0.0107
py 50 0.0339 0.0125 0.0214
py 51 0.0196 0.0053 0.0143
py 52 0.0125 0.0053 0.0071
py 53 0.0178 0.0107 0.0071
py 54 0.0160 0.0036 0.0125
py 55 0.0089 0.0036 0.0053
py 56 0.0125 0.0053 0.0071
py 57 0.0071 0.0036 0.0036
py 58 0.0018 0.0000 0.0018
py 59 0.0000 0.0000 0.0000
py 60 0.0018 0.0018 0.0000
py 61 0.0018 0.0018 0.0000
py 62 0.0036 0.0018 0.0018
py 64 0.0000 0.0000 0.0000
