ba 2 61   996.000   839.000   0.84237   0.89993 755.04127
ba 2 62   974.000   695.000   0.71355   0.86574 601.68930
ba 2 63  1018.000   610.000   0.59921   0.83986 512.31460
ba 2 64   997.000   524.000   0.52558   0.84706 443.85944
ba 2 65  1134.000   460.000   0.40564   0.75621 347.85660
ba 2 66   987.000   263.000   0.26646   0.74321 195.46423
ba 2 67   942.000   187.000   0.19851   0.60283 112.72921
ba 2 68   925.000   137.000   0.14811   0.50675  69.42475
ba 2 69   744.000   107.000   0.14382   0.46740  50.01180
ba 2 70   537.000    61.000   0.11359   0.39015  23.79915
ba 2 71   438.000    47.000   0.10731   0.33528  15.75816
ba 2 72   353.000    29.000   0.08215   0.40396  11.71484
ba 2 73   257.000    23.000   0.08949   0.37706   8.67238
ba 2 74   264.000    23.000   0.08712   0.31487   7.24201
gr 1 23     0.000     0.000   0.00000   0.00000   0.00000
gr 1 24    54.000    49.000   0.90741   0.88963  43.59187
gr 1 25   159.000   153.000   0.96226   0.89209 136.48977
gr 1 26   246.000   239.000   0.97154   0.94277 225.32203
gr 1 27   334.000   321.000   0.96108   0.96800 310.72800
gr 1 28   310.000   301.000   0.97097   0.97866 294.57666
gr 1 29   326.000   316.000   0.96933   0.96030 303.45480
gr 1 30   363.000   356.000   0.98072   0.96892 344.93552
gr 1 31   403.000   394.000   0.97767   0.98129 386.62826
gr 1 32   337.000   331.000   0.98220   0.98999 327.68669
gr 1 33   313.000   305.000   0.97444   0.98428 300.20540
gr 1 34   275.000   271.000   0.98545   0.98340 266.50140
gr 1 35   287.000   276.000   0.96167   0.99340 274.17840
gr 1 36   308.000   299.000   0.97078   0.98419 294.27281
gr 1 37   346.000   336.000   0.97110   0.98091 329.58576
gr 1 38   343.000   334.000   0.97376   0.98100 327.65400
gr 1 39   371.000   367.000   0.98922   0.97556 358.03052
gr 1 40   376.000   365.000   0.97074   0.98494 359.50310
gr 1 41   387.000   376.000   0.97158   0.97972 368.37472
gr 1 42   415.000   402.000   0.96867   0.98550 396.17100
gr 1 43   415.000   401.000   0.96627   0.98133 393.51333
gr 1 44   436.000   421.000   0.96560   0.98021 412.66841
gr 1 45   483.000   471.000   0.97516   0.97817 460.71807
gr 1 46   510.000   502.000   0.98431   0.98750 495.72500
gr 1 47   567.000   554.000   0.97707   0.97930 542.53220
gr 1 48   604.000   581.000   0.96192   0.98489 572.22109
gr 1 49   614.000   592.000   0.96417   0.97830 579.15360
gr 1 50   564.000   547.000   0.96986   0.97908 535.55676
gr 1 51   540.000   522.000   0.96667   0.98022 511.67484
gr 1 52   524.000   497.000   0.94847   0.97599 485.06703
gr 1 53   467.000   440.000   0.94218   0.96173 423.16120
gr 1 54   364.000   346.000   0.95055   0.97540 337.48840
gr 1 55   277.000   257.000   0.92780   0.97424 250.37968
gr 1 56   310.000   296.000   0.95484   0.97217 287.76232
gr 1 57   248.000   228.000   0.91935   0.94605 215.69940
gr 1 58   265.000   241.000   0.90943   0.95678 230.58398
gr 1 59   256.000   230.000   0.89844   0.91961 211.51030
gr 1 60   288.000   259.000   0.89931   0.96265 249.32635
gr 1 61   310.000   285.000   0.91935   0.95176 271.25160
gr 1 62   371.000   301.000   0.81132   0.93061 280.11361
gr 1 63   421.000   304.000   0.72209   0.92094 279.96576
gr 1 64   491.000   315.000   0.64155   0.88222 277.89930
gr 1 65   491.000   261.000   0.53157   0.84659 220.95999
gr 1 66   549.000   236.000   0.42987   0.78915 186.23940
gr 1 67   639.000   247.000   0.38654   0.64170 158.49990
gr 1 68   687.000   218.000   0.31732   0.58635 127.82430
gr 1 69   763.000   198.000   0.25950   0.57806 114.45588
gr 1 70   712.000   157.000   0.22051   0.53306  83.69042
gr 1 71   647.000   137.000   0.21175   0.50813  69.61381
gr 1 72   550.000    97.000   0.17636   0.50389  48.87733
gr 1 73   632.000   119.000   0.18829   0.45535  54.18665
gr 1 74   656.000    99.000   0.15091   0.41074  40.66326
gr 2 21     0.000     0.000   0.00000   0.00000   0.00000
gr 2 22     0.000     0.000   0.00000   0.00000   0.00000
gr 2 23     1.000     1.000   1.00000   0.06670   0.06670
gr 2 24   283.000   274.000   0.96820   0.90428 247.77272
gr 2 25   712.000   678.000   0.95225   0.93218 632.01804
gr 2 26   926.000   890.000   0.96112   0.94405 840.20450
gr 2 27  1041.000   996.000   0.95677   0.97077 966.88692
gr 2 28  1143.000  1098.000   0.96063   0.962641056.97872
gr 2 29  1097.000  1061.000   0.96718   0.963571022.34777
gr 2 30  1141.000  1103.000   0.96670   0.970461070.41738
gr 2 31  1108.000  1048.000   0.94585   0.962161008.34368
gr 2 32  1062.000  1018.000   0.95857   0.96218 979.49924
gr 2 33   962.000   911.000   0.94699   0.96972 883.41492
gr 2 34   844.000   805.000   0.95379   0.96125 773.80625
gr 2 35   983.000   944.000   0.96033   0.96328 909.33632
gr 2 36   965.000   928.000   0.96166   0.95337 884.72736
gr 2 37   958.000   922.000   0.96242   0.95501 880.51922
gr 2 38   971.000   935.000   0.96292   0.95553 893.42055
gr 2 39  1076.000  1021.000   0.94888   0.95125 971.22625
gr 2 40  1034.000   986.000   0.95358   0.95196 938.63256
gr 2 41  1046.000   982.000   0.93881   0.94895 931.86890
gr 2 42  1151.000  1085.000   0.94266   0.959221040.75370
gr 2 43  1130.000  1071.000   0.94779   0.945181012.28778
gr 2 44  1181.000  1126.000   0.95343   0.954041074.24904
gr 2 45  1166.000  1103.000   0.94597   0.948111045.76533
gr 2 46  1216.000  1135.000   0.93339   0.953021081.67770
gr 2 47  1335.000  1261.000   0.94457   0.946921194.06612
gr 2 48  1338.000  1259.000   0.94096   0.945331190.17047
gr 2 49  1339.000  1263.000   0.94324   0.952831203.42429
gr 2 50  1291.000  1200.000   0.92951   0.941011129.21200
gr 2 51  1142.000  1055.000   0.92382   0.93824 989.84320
gr 2 52  1157.000  1067.000   0.92221   0.938231001.09141
gr 2 53  1105.000  1019.000   0.92217   0.93507 952.83633
gr 2 54  1012.000   929.000   0.91798   0.94008 873.33432
gr 2 55   953.000   845.000   0.88667   0.92589 782.37705
gr 2 56   895.000   799.000   0.89274   0.91546 731.45254
gr 2 57   781.000   706.000   0.90397   0.90810 641.11860
gr 2 58   733.000   663.000   0.90450   0.90405 599.38515
gr 2 59   769.000   691.000   0.89857   0.90875 627.94625
gr 2 60   826.000   734.000   0.88862   0.92389 678.13526
gr 2 61   899.000   791.000   0.87987   0.94146 744.69486
gr 2 62   981.000   747.000   0.76147   0.88394 660.30318
gr 2 63  1041.000   683.000   0.65610   0.88329 603.28707
gr 2 64   955.000   553.000   0.57906   0.84130 465.23890
gr 2 65  1007.000   427.000   0.42403   0.81968 350.00336
