ph      20      0.0000  0.0000  0.0000
ph      21      0.0025  0.0000  0.0025
ph      22      0.0170  0.0095  0.0076
ph      23      0.0259  0.0101  0.0158
ph      24      0.0631  0.0334  0.0296
ph      25      0.0939  0.0479  0.0460
ph      26      0.0763  0.0359  0.0404
ph      27      0.0618  0.0303  0.0315
ph      28      0.0675  0.0322  0.0353
ph      29      0.0504  0.0227  0.0277
ph      30      0.0473  0.0227  0.0246
ph      31      0.0485  0.0183  0.0303
ph      32      0.0429  0.0227  0.0202
ph      33      0.0410  0.0132  0.0277
ph      34      0.0284  0.0107  0.0177
ph      35      0.0296  0.0139  0.0158
ph      36      0.0189  0.0057  0.0132
ph      37      0.0183  0.0057  0.0126
ph      38      0.0158  0.0050  0.0107
ph      39      0.0177  0.0050  0.0126
ph      40      0.0145  0.0044  0.0101
ph      41      0.0265  0.0076  0.0189
ph      42      0.0195  0.0038  0.0158
ph      43      0.0221  0.0063  0.0158
ph      44      0.0195  0.0069  0.0126
ph      45      0.0145  0.0063  0.0082
ph      46      0.0145  0.0038  0.0107
ph      47      0.0082  0.0013  0.0069
ph      48      0.0164  0.0044  0.0120
ph      49      0.0164  0.0050  0.0113
ph      50      0.0101  0.0038  0.0063
ph      51      0.0101  0.0076  0.0025
ph      52      0.0044  0.0019  0.0025
ph      53      0.0063  0.0038  0.0025
ph      54      0.0063  0.0032  0.0032
ph      55      0.0063  0.0038  0.0025
ph      56      0.0038  0.0019  0.0019
ph      57      0.0038  0.0032  0.0006
ph      58      0.0025  0.0006  0.0019
ph      59      0.0032  0.0025  0.0006
ph      60      0.0032  0.0025  0.0006
ph      61      0.0000  0.0000  0.0000
ph      62      0.0006  0.0000  0.0006
ph      64      0.0006  0.0000  0.0006
py      18      0.0000  0.0000  0.0000
py      19      0.0000  0.0000  0.0000
py      20      0.0000  0.0000  0.0000
py      21      0.0000  0.0000  0.0000
py      22      0.0009  0.0000  0.0009
py      23      0.0018  0.0009  0.0009
py      24      0.0063  0.0018  0.0045
py      25      0.0117  0.0027  0.0090
py      26      0.0242  0.0081  0.0161
py      27      0.0287  0.0099  0.0188
py      28      0.0395  0.0108  0.0287
py      29      0.0278  0.0099  0.0179
py      30      0.0350  0.0135  0.0215
py      31      0.0413  0.0126  0.0287
py      32      0.0475  0.0117  0.0359
py      33      0.0386  0.0161  0.0224
py      34      0.0422  0.0143  0.0278
py      35      0.0466  0.0135  0.0332
py      36      0.0341  0.0090  0.0251
py      37      0.0332  0.0081  0.0251
py      38      0.0377  0.0099  0.0278
py      39      0.0404  0.0135  0.0269
py      40      0.0314  0.0072  0.0242
py      41      0.0359  0.0099  0.0260
py      42      0.0296  0.0081  0.0215
py      43      0.0251  0.0063  0.0188
py      44      0.0251  0.0045  0.0206
py      45      0.0296  0.0099  0.0197
py      46      0.0395  0.0143  0.0251
py      47      0.0314  0.0152  0.0161
py      48      0.0242  0.0063  0.0179
py      49      0.0251  0.0081  0.0170
py      50      0.0287  0.0108  0.0179
py      51      0.0251  0.0090  0.0161
py      52      0.0233  0.0090  0.0143
py      53      0.0215  0.0143  0.0072
py      54      0.0197  0.0090  0.0108
py      55      0.0108  0.0054  0.0054
py      56      0.0081  0.0036  0.0045
py      57      0.0108  0.0045  0.0063
