 0  0     2608  1.9747 2 0.0491 0.0515
 1  2    95047  1.9840 2 0.8535 0.9700
 3  3    54508  1.4914 2 0.9409 0.9700
 4  5   115932  0.9952 2 0.9555 0.9700
